price_usd,lat,lon,area_m2,country,city,property_type
409200.0,,,72.49000000000001,Taiwan,萬華區,
591480.0,,,101.89,Taiwan,內湖區,
143220.0,,,10.56,Taiwan,大同區,
215765.518,,,,Taiwan,信義區,
203666.838,,,,Taiwan,信義區,
306280.0,,,61.900000000000006,Taiwan,大同區,
75640.0,,,16.92,Taiwan,萬華區,
43400.0,,,12.46,Taiwan,松山區,
18600.0,,,,Taiwan,北投區,
393080.0,,,37.56,Taiwan,大安區,
341000.0,,,138.06,Taiwan,文山區,
15500.0,,,20.9,Taiwan,中山區,
75950.0,,,13.49,Taiwan,北投區,
32550.0,,,9.94,Taiwan,大安區,
595200.0,,,82.33,Taiwan,松山區,
182590.0,,,31.48,Taiwan,北投區,
40300.0,,,,Taiwan,北投區,
65100.0,,,19.87,Taiwan,大安區,
527000.0,,,91.83,Taiwan,文山區,
186000.0,,,,Taiwan,萬華區,
722300.0,,,81.46,Taiwan,中正區,
111600.0,,,39.5,Taiwan,中山區,
65134.007,,,,Taiwan,內湖區,
44863.2,,,,Taiwan,士林區,
1085000.0,,,56.67,Taiwan,松山區,
372000.0,,,63.25,Taiwan,文山區,
119660.0,,,32.92,Taiwan,萬華區,
310000.0,,,48.9,Taiwan,中山區,
127100.0,,,47.13,Taiwan,內湖區,
81530.0,,,22.95,Taiwan,松山區,
179800.0,,,,Taiwan,士林區,
123380.0,,,38.23,Taiwan,北投區,
48050.0,,,10.0,Taiwan,中正區,
133300.0,,,40.35,Taiwan,萬華區,
62000.0,,,39.05,Taiwan,內湖區,
48980.0,,,46.92,Taiwan,內湖區,
57350.0,,,18.0,Taiwan,松山區,
945190.0,,,92.88,Taiwan,信義區,
155000.0,,,31.18,Taiwan,萬華區,
186000.0,,,,Taiwan,士林區,
46500.0,,,1.19,Taiwan,大安區,
83700.0,,,41.16,Taiwan,文山區,
117800.0,,,52.29,Taiwan,中山區,
80600.0,,,44.65,Taiwan,信義區,
806000.0,,,99.57,Taiwan,信義區,
1375780.0,,,152.82,Taiwan,信義區,
67580.0,,,39.83,Taiwan,南港區,
97650.0,,,44.93,Taiwan,士林區,
44950.0,,,14.99,Taiwan,大同區,
376402.0,,,61.75,Taiwan,大同區,
13950.0,,,,Taiwan,大同區,
64480.0,,,27.41,Taiwan,中山區,
384400.0,,,43.21,Taiwan,中正區,
346580.0,,,62.59,Taiwan,內湖區,
1202800.0,,,294.62,Taiwan,內湖區,
604500.0,,,101.35,Taiwan,信義區,
4703.63,,,,Taiwan,文山區,
356500.0,,,51.23,Taiwan,萬華區,
527000.0,,,42.77,Taiwan,中正區,
954800.0,,,145.37,Taiwan,中山區,
877300.0,,,132.07,Taiwan,內湖區,
517080.0,,,99.54,Taiwan,內湖區,
310000.0,,,71.63,Taiwan,士林區,
978980.0,,,146.09,Taiwan,北投區,
139415.37,,,,Taiwan,大安區,
427800.0,,,48.06,Taiwan,大安區,
620000.0,,,108.28,Taiwan,萬華區,
1891000.0,,,108.7,Taiwan,大同區,
325500.0,,,43.96,Taiwan,中山區,
21700.0,,,20.9,Taiwan,中山區,
861180.0,,,68.28,Taiwan,松山區,
675800.0,,,124.1,Taiwan,南港區,
678900.0,,,166.17,Taiwan,北投區,
155000.0,,,39.39,Taiwan,文山區,
883500.0,,,242.6,Taiwan,文山區,
874200.0,,,137.79,Taiwan,中山區,
407030.0,,,46.81,Taiwan,中山區,
310000.0,,,48.44,Taiwan,中山區,
341000.0,,,47.85,Taiwan,內湖區,
662780.0,,,100.42,Taiwan,內湖區,
1818460.0,,,253.9,Taiwan,南港區,
954800.0,,,126.99,Taiwan,松山區,
936200.0,,,120.24,Taiwan,松山區,
94860.0,,,40.08,Taiwan,信義區,
2108000.0,,,304.02,Taiwan,士林區,
139190.0,,,48.21,Taiwan,士林區,
468007.0,,,95.08,Taiwan,萬華區,
36000.0,,,,Pakistan,Islamabad,Flat
24840.0,,,,Pakistan,Islamabad,Flat
59400.0,,,,Pakistan,Islamabad,House
156600.0,,,,Pakistan,Islamabad,House
25200.0,,,,Pakistan,Islamabad,House
124200.0,,,,Pakistan,Islamabad,House
97200.0,,,,Pakistan,Islamabad,House
28080.0,,,,Pakistan,Islamabad,Flat
180000.0,,,,Pakistan,Islamabad,House
144000.0,,,,Pakistan,Islamabad,Penthouse
126000.0,,,,Pakistan,Islamabad,Flat
172800.0,,,,Pakistan,Islamabad,Flat
1440000.0,,,,Pakistan,Islamabad,House
48600.0,,,,Pakistan,Islamabad,Flat
12960.0,,,,Pakistan,Islamabad,Flat
18000.0,,,,Pakistan,Islamabad,Flat
68400.0,,,,Pakistan,Islamabad,House
288000.0,,,,Pakistan,Islamabad,House
96840.0,,,,Pakistan,Islamabad,House
6300.0,,,,Pakistan,Islamabad,Flat
198000.0,,,,Pakistan,Islamabad,House
16200.0,,,,Pakistan,Islamabad,House
318600.0,,,,Pakistan,Islamabad,Farm House
169200.0,,,,Pakistan,Islamabad,Flat
16200.0,,,,Pakistan,Islamabad,House
24480.0,,,,Pakistan,Islamabad,House
72000.0,,,,Pakistan,Islamabad,House
69840.0,,,,Pakistan,Islamabad,Flat
360000.0,,,,Pakistan,Islamabad,House
28800.0,,,,Pakistan,Islamabad,Flat
22680.0,,,,Pakistan,Islamabad,Flat
792000.0,,,,Pakistan,Islamabad,House
16200.0,,,,Pakistan,Islamabad,House
45000.0,,,,Pakistan,Islamabad,House
828000.0,,,,Pakistan,Islamabad,House
396.0,,,,Pakistan,Islamabad,House
2160.0,,,,Pakistan,Islamabad,House
630.0,,,,Pakistan,Islamabad,House
3679.2,,,,Pakistan,Islamabad,House
3240.0,,,,Pakistan,Islamabad,House
720.0,,,,Pakistan,Islamabad,Lower Portion
954.0,,,,Pakistan,Islamabad,House
792000.0,,,,Pakistan,Lahore,House
144000.0,,,,Pakistan,Lahore,House
34200.0,,,,Pakistan,Lahore,House
450000.0,,,,Pakistan,Lahore,House
75600.0,,,,Pakistan,Lahore,House
187200.0,,,,Pakistan,Lahore,House
59400.0,,,,Pakistan,Lahore,House
117000.0,,,,Pakistan,Lahore,House
113400.0,,,,Pakistan,Lahore,House
144000.0,,,,Pakistan,Lahore,House
48600.0,,,,Pakistan,Lahore,House
315000.0,,,,Pakistan,Lahore,House
59400.0,,,,Pakistan,Lahore,House
66600.0,,,,Pakistan,Lahore,House
84600.0,,,,Pakistan,Lahore,House
81000.0,,,,Pakistan,Lahore,House
180000.0,,,,Pakistan,Lahore,House
142200.0,,,,Pakistan,Lahore,House
99000.0,,,,Pakistan,Lahore,House
144000.0,,,,Pakistan,Lahore,House
162000.0,,,,Pakistan,Lahore,House
11520.0,,,,Pakistan,Lahore,House
76320.0,,,,Pakistan,Lahore,House
82800.0,,,,Pakistan,Lahore,House
77400.0,,,,Pakistan,Lahore,House
77400.0,,,,Pakistan,Lahore,House
144000.0,,,,Pakistan,Lahore,House
93600.0,,,,Pakistan,Lahore,House
75600.0,,,,Pakistan,Lahore,House
82800.0,,,,Pakistan,Lahore,House
82800.0,,,,Pakistan,Lahore,House
207000.0,,,,Pakistan,Lahore,House
2232000.0,,,,Pakistan,Lahore,House
19800.0,,,,Pakistan,Lahore,House
180000.0,,,,Pakistan,Lahore,House
43200.0,,,,Pakistan,Lahore,House
234000.0,,,,Pakistan,Lahore,House
4500000.0,,,,Pakistan,Lahore,House
153000.0,,,,Pakistan,Lahore,House
239400.0,,,,Pakistan,Lahore,House
43200.0,,,,Pakistan,Lahore,House
144000.0,,,,Pakistan,Lahore,House
648000.0,,,,Pakistan,Lahore,House
61200.0,,,,Pakistan,Lahore,House
171000.0,,,,Pakistan,Lahore,House
61200.0,,,,Pakistan,Lahore,House
90000.0,,,,Pakistan,Lahore,House
30600.0,,,,Pakistan,Faisalabad,House
90000.0,,,,Pakistan,Faisalabad,House
21600.0,,,,Pakistan,Faisalabad,House
216000.0,,,,Pakistan,Faisalabad,House
48600.0,,,,Pakistan,Rawalpindi,House
113400.0,,,,Pakistan,Rawalpindi,House
82800.0,,,,Pakistan,Rawalpindi,House
35964.0,,,,Pakistan,Rawalpindi,House
81000.0,,,,Pakistan,Rawalpindi,House
144000.0,,,,Pakistan,Rawalpindi,House
32400.0,,,,Pakistan,Rawalpindi,House
46080.0,,,,Pakistan,Rawalpindi,House
133200.0,,,,Pakistan,Rawalpindi,House
82800.0,,,,Pakistan,Rawalpindi,House
142200.0,,,,Pakistan,Rawalpindi,House
75600.0,,,,Pakistan,Rawalpindi,House
133200.0,,,,Pakistan,Rawalpindi,House
133200.0,,,,Pakistan,Rawalpindi,House
135000.0,,,,Pakistan,Rawalpindi,House
17280.0,,,,Pakistan,Rawalpindi,Flat
126000.0,,,,Pakistan,Rawalpindi,House
90000.0,,,,Pakistan,Rawalpindi,Penthouse
27000.0,,,,Pakistan,Rawalpindi,Flat
46080.0,,,,Pakistan,Rawalpindi,House
18000.0,,,,Pakistan,Rawalpindi,House
79200.0,,,,Pakistan,Rawalpindi,House
136800.0,,,,Pakistan,Rawalpindi,House
64800.0,,,,Pakistan,Rawalpindi,House
90000.0,,,,Pakistan,Rawalpindi,House
108000.0,,,,Pakistan,Rawalpindi,House
82800.0,,,,Pakistan,Rawalpindi,House
108000.0,,,,Pakistan,Rawalpindi,House
