lat,lon,price_local,currency,area_m2,property_type,transaction_date,yr,city,country,country_iso,source,n_rooms,terrain_m2,postcode,structure,use,build_year,floor_plan,district,address,bis_hpi,esa_tile,dem_tile
48.868666,2.38625,302000.0,EUR,,Dépendance,2023-01-06,2023,Paris 20e Arrondissement,France,FR,france_dvf,0,,,,,,,,,128.7898,,
48.869483,2.395486,571000.0,EUR,,Dépendance,2023-01-06,2023,Paris 20e Arrondissement,France,FR,france_dvf,0,,,,,,,,,128.7898,,
48.869483,2.395486,571000.0,EUR,54.0,Appartement,2023-01-06,2023,Paris 20e Arrondissement,France,FR,france_dvf,2,,,,,,,,,128.7898,,
48.851529,2.400478,472350.0,EUR,52.0,Appartement,2023-01-04,2023,Paris 20e Arrondissement,France,FR,france_dvf,3,,,,,,,,,128.7898,,
48.874271,2.352627,120000.0,EUR,,Dépendance,2023-01-04,2023,Paris 10e Arrondissement,France,FR,france_dvf,0,,,,,,,,,128.7898,,
48.874271,2.352627,120000.0,EUR,85.0,Appartement,2023-01-04,2023,Paris 10e Arrondissement,France,FR,france_dvf,4,,,,,,,,,128.7898,,
48.876296,2.392639,495000.0,EUR,63.0,Appartement,2023-01-09,2023,Paris 19e Arrondissement,France,FR,france_dvf,2,,,,,,,,,128.7898,,
48.876296,2.392639,495000.0,EUR,,Dépendance,2023-01-09,2023,Paris 19e Arrondissement,France,FR,france_dvf,0,,,,,,,,,128.7898,,
48.882605,2.34138,405000.0,EUR,31.0,Appartement,2023-01-03,2023,Paris 18e Arrondissement,France,FR,france_dvf,1,,,,,,,,,128.7898,,
48.882605,2.34138,405000.0,EUR,,Dépendance,2023-01-03,2023,Paris 18e Arrondissement,France,FR,france_dvf,0,,,,,,,,,128.7898,,
48.882605,2.34138,405000.0,EUR,,Dépendance,2023-01-03,2023,Paris 18e Arrondissement,France,FR,france_dvf,0,,,,,,,,,128.7898,,
48.876572,2.387123,186000.0,EUR,18.0,Appartement,2023-01-06,2023,Paris 19e Arrondissement,France,FR,france_dvf,1,,,,,,,,,128.7898,,
48.876572,2.387123,186000.0,EUR,,Dépendance,2023-01-06,2023,Paris 19e Arrondissement,France,FR,france_dvf,0,,,,,,,,,128.7898,,
48.88443,2.377781,209100.0,EUR,25.0,Appartement,2023-01-03,2023,Paris 19e Arrondissement,France,FR,france_dvf,1,,,,,,,,,128.7898,ESA_WorldCover_10m_2021_v200_N48E000,Copernicus_DSM_COG_10_N48_00_E002_00_DEM
48.893079,2.323396,253000.0,EUR,31.0,Appartement,2023-01-09,2023,Paris 17e Arrondissement,France,FR,france_dvf,2,,,,,,,,,128.7898,,
48.893079,2.323396,253000.0,EUR,,Dépendance,2023-01-09,2023,Paris 17e Arrondissement,France,FR,france_dvf,0,,,,,,,,,128.7898,ESA_WorldCover_10m_2021_v200_N48E000,Copernicus_DSM_COG_10_N48_00_E002_00_DEM
48.854807,2.401679,374150.0,EUR,34.0,Appartement,2023-01-06,2023,Paris 20e Arrondissement,France,FR,france_dvf,3,,,,,,,,,128.7898,ESA_WorldCover_10m_2021_v200_N48E000,Copernicus_DSM_COG_10_N48_00_E002_00_DEM
48.854807,2.401679,374150.0,EUR,,Dépendance,2023-01-06,2023,Paris 20e Arrondissement,France,FR,france_dvf,0,,,,,,,,,128.7898,ESA_WorldCover_10m_2021_v200_N48E000,Copernicus_DSM_COG_10_N48_00_E002_00_DEM
48.89248,2.339433,264745.0,EUR,40.0,Appartement,2023-01-09,2023,Paris 18e Arrondissement,France,FR,france_dvf,2,,,,,,,,,128.7898,,
48.873133,2.357403,100000.0,EUR,9.0,Appartement,2023-01-04,2023,Paris 10e Arrondissement,France,FR,france_dvf,1,,,,,,,,,128.7898,,
48.862101,2.355277,268000.0,EUR,,Dépendance,2023-01-04,2023,Paris 3e Arrondissement,France,FR,france_dvf,0,,,,,,,,,128.7898,,
48.862101,2.355277,268000.0,EUR,23.0,Appartement,2023-01-04,2023,Paris 3e Arrondissement,France,FR,france_dvf,1,,,,,,,,,128.7898,,
48.876388,2.303375,55800.0,EUR,,Dépendance,2023-01-11,2023,Paris 8e Arrondissement,France,FR,france_dvf,0,,,,,,,,,128.7898,,
48.882946,2.32177,316770.0,EUR,35.0,Appartement,2023-01-10,2023,Paris 17e Arrondissement,France,FR,france_dvf,2,,,,,,,,,128.7898,,
48.888112,2.355989,94000.0,EUR,15.0,Appartement,2023-01-11,2023,Paris 18e Arrondissement,France,FR,france_dvf,1,,,,,,,,,128.7898,,
48.888112,2.355989,94000.0,EUR,,Dépendance,2023-01-11,2023,Paris 18e Arrondissement,France,FR,france_dvf,0,,,,,,,,,128.7898,,
48.871766,2.378925,199000.0,EUR,18.0,Appartement,2023-01-05,2023,Paris 20e Arrondissement,France,FR,france_dvf,1,,,,,,,,,128.7898,,
48.873893,2.359603,1162000.0,EUR,,Dépendance,2023-01-06,2023,Paris 10e Arrondissement,France,FR,france_dvf,0,,,,,,,,,128.7898,,
48.873893,2.359603,1162000.0,EUR,106.0,Appartement,2023-01-06,2023,Paris 10e Arrondissement,France,FR,france_dvf,4,,,,,,,,,128.7898,ESA_WorldCover_10m_2021_v200_N48E000,Copernicus_DSM_COG_10_N48_00_E002_00_DEM
48.869582,2.407757,395000.0,EUR,,Dépendance,2023-01-11,2023,Paris 20e Arrondissement,France,FR,france_dvf,0,,,,,,,,,128.7898,,
48.869582,2.407757,395000.0,EUR,,Dépendance,2023-01-11,2023,Paris 20e Arrondissement,France,FR,france_dvf,0,,,,,,,,,128.7898,,
48.869582,2.407757,395000.0,EUR,43.0,Appartement,2023-01-11,2023,Paris 20e Arrondissement,France,FR,france_dvf,2,,,,,,,,,128.7898,,
48.890943,2.38301,260000.0,EUR,,Dépendance,2023-01-10,2023,Paris 19e Arrondissement,France,FR,france_dvf,0,,,,,,,,,128.7898,,
