lat,lon,price,currency,area_m2,yr,city,country,iso,source,property_type
43.292999,5.379943,293000.0,EUR,119.0,2023,Marseille 1er Arrondissement,France,FR,france_dvf,
43.302854,5.369582,265000.0,EUR,82.0,2023,Marseille 2e Arrondissement,France,FR,france_dvf,
43.255727,5.416701,240600.0,EUR,86.0,2023,Marseille 9e Arrondissement,France,FR,france_dvf,
43.291646,5.38866,321700.0,EUR,83.0,2023,Marseille 6e Arrondissement,France,FR,france_dvf,
43.283708,5.441434,165000.0,EUR,90.0,2023,Marseille 10e Arrondissement,France,FR,france_dvf,
43.275288,5.385236,342600.0,EUR,54.0,2023,Marseille 8e Arrondissement,France,FR,france_dvf,
43.277114,5.384977,872850.0,EUR,110.0,2023,Marseille 8e Arrondissement,France,FR,france_dvf,
43.297873,5.373794,113000.0,EUR,25.0,2023,Marseille 1er Arrondissement,France,FR,france_dvf,
43.3283,5.477346,402000.0,EUR,91.0,2023,Allauch,France,FR,france_dvf,
43.2142,5.553676,1113100.0,EUR,120.0,2023,Cassis,France,FR,france_dvf,
43.313188,5.399546,82000.0,EUR,30.0,2023,Marseille 4e Arrondissement,France,FR,france_dvf,
43.351054,5.355229,155000.0,EUR,120.0,2023,Marseille 15e Arrondissement,France,FR,france_dvf,
43.28032,5.359524,700000.0,EUR,80.0,2023,Marseille 7e Arrondissement,France,FR,france_dvf,
43.28032,5.359524,700000.0,EUR,51.0,2023,Marseille 7e Arrondissement,France,FR,france_dvf,
43.288255,5.37817,85000.0,EUR,18.0,2023,Marseille 6e Arrondissement,France,FR,france_dvf,
43.343084,5.402156,120000.0,EUR,39.0,2023,Marseille 14e Arrondissement,France,FR,france_dvf,
43.285585,5.377231,259900.0,EUR,56.0,2023,Marseille 6e Arrondissement,France,FR,france_dvf,
43.244482,5.39828,320000.0,EUR,62.0,2023,Marseille 9e Arrondissement,France,FR,france_dvf,
43.286258,5.404937,154000.0,EUR,75.0,2023,Marseille 10e Arrondissement,France,FR,france_dvf,
43.248767,5.39593,133600.0,EUR,27.0,2023,Marseille 8e Arrondissement,France,FR,france_dvf,
43.272234,5.389573,183000.0,EUR,44.0,2023,Marseille 8e Arrondissement,France,FR,france_dvf,
43.287479,5.39451,145000.0,EUR,58.0,2023,Marseille 5e Arrondissement,France,FR,france_dvf,
43.319169,5.394666,52000.0,EUR,57.0,2023,Marseille 14e Arrondissement,France,FR,france_dvf,
43.318023,5.388585,92000.0,EUR,58.0,2023,Marseille 14e Arrondissement,France,FR,france_dvf,
43.296996,5.396317,237000.0,EUR,53.0,2023,Marseille 5e Arrondissement,France,FR,france_dvf,
43.300291,5.451401,119000.0,EUR,67.0,2023,Marseille 12e Arrondissement,France,FR,france_dvf,
43.179651,5.59391,322150.0,EUR,89.0,2023,La Ciotat,France,FR,france_dvf,
43.287812,5.382273,177050.0,EUR,33.0,2023,Marseille 6e Arrondissement,France,FR,france_dvf,
43.297647,5.383861,85000.0,EUR,25.0,2023,Marseille 1er Arrondissement,France,FR,france_dvf,
43.17787,5.605953,350000.0,EUR,64.0,2023,La Ciotat,France,FR,france_dvf,
43.286581,5.445518,379150.0,EUR,50.0,2023,Marseille 11e Arrondissement,France,FR,france_dvf,
43.299393,5.418653,454000.0,EUR,90.0,2023,Marseille 12e Arrondissement,France,FR,france_dvf,
43.283708,5.441434,181000.0,EUR,76.0,2023,Marseille 10e Arrondissement,France,FR,france_dvf,
43.290075,5.358164,222000.0,EUR,45.0,2023,Marseille 7e Arrondissement,France,FR,france_dvf,
43.277111,5.369594,780000.0,EUR,93.0,2023,Marseille 7e Arrondissement,France,FR,france_dvf,
43.24217,5.398901,229000.0,EUR,48.0,2023,Marseille 9e Arrondissement,France,FR,france_dvf,
43.297707,5.393803,190000.0,EUR,50.0,2023,Marseille 5e Arrondissement,France,FR,france_dvf,
43.346773,5.375127,40000.0,EUR,61.0,2023,Marseille 15e Arrondissement,France,FR,france_dvf,
43.24604,5.408636,309500.0,EUR,0.0,2023,Marseille 9e Arrondissement,France,FR,france_dvf,
43.24604,5.408636,309500.0,EUR,0.0,2023,Marseille 9e Arrondissement,France,FR,france_dvf,
43.346773,5.375127,63000.0,EUR,40.0,2023,Marseille 15e Arrondissement,France,FR,france_dvf,
43.346773,5.375127,63000.0,EUR,58.0,2023,Marseille 15e Arrondissement,France,FR,france_dvf,
43.288484,5.388304,111500.0,EUR,80.0,2023,Marseille 6e Arrondissement,France,FR,france_dvf,
43.354353,5.344065,277000.0,EUR,85.0,2023,Marseille 16e Arrondissement,France,FR,france_dvf,
43.306365,5.384525,143000.0,EUR,66.0,2023,Marseille 3e Arrondissement,France,FR,france_dvf,
43.265069,5.391456,155000.0,EUR,32.0,2023,Marseille 8e Arrondissement,France,FR,france_dvf,
43.231725,5.401371,178471.0,EUR,0.0,2023,Marseille 9e Arrondissement,France,FR,france_dvf,
43.231725,5.401371,178471.0,EUR,0.0,2023,Marseille 9e Arrondissement,France,FR,france_dvf,
43.26836,5.372972,1830000.0,EUR,116.0,2023,Marseille 8e Arrondissement,France,FR,france_dvf,
43.314802,5.38178,104500.0,EUR,48.0,2023,Marseille 3e Arrondissement,France,FR,france_dvf,
43.26951,5.379399,600000.0,EUR,92.0,2023,Marseille 8e Arrondissement,France,FR,france_dvf,
43.280507,5.375975,1075850.0,EUR,107.0,2023,Marseille 6e Arrondissement,France,FR,france_dvf,
43.280507,5.375975,1075850.0,EUR,52.0,2023,Marseille 6e Arrondissement,France,FR,france_dvf,
43.296416,5.39506,186800.0,EUR,51.0,2023,Marseille 5e Arrondissement,France,FR,france_dvf,
43.258021,5.415892,73600.0,EUR,20.0,2023,Marseille 9e Arrondissement,France,FR,france_dvf,
43.297942,5.38586,450000.0,EUR,115.0,2023,Marseille 1er Arrondissement,France,FR,france_dvf,
43.306669,5.371696,120000.0,EUR,62.0,2023,Marseille 2e Arrondissement,France,FR,france_dvf,
43.311709,5.394944,50000.0,EUR,40.0,2023,Marseille 4e Arrondissement,France,FR,france_dvf,
43.401878,5.61269,508550.0,EUR,105.0,2023,La Bouilladisse,France,FR,france_dvf,
43.329215,5.439103,130000.0,EUR,72.0,2023,Marseille 13e Arrondissement,France,FR,france_dvf,
43.578039,1.325453,350190.0,EUR,105.0,2023,Tournefeuille,France,FR,france_dvf,
43.599944,1.228622,102000.0,EUR,50.0,2023,Léguevin,France,FR,france_dvf,
43.558394,1.309453,170000.0,EUR,0.0,2023,Plaisance-du-Touch,France,FR,france_dvf,
43.558226,1.309572,275000.0,EUR,65.0,2023,Plaisance-du-Touch,France,FR,france_dvf,
43.558394,1.309453,275000.0,EUR,0.0,2023,Plaisance-du-Touch,France,FR,france_dvf,
43.602509,1.326778,135315.0,EUR,41.0,2023,Colomiers,France,FR,france_dvf,
43.612153,1.467894,329000.0,EUR,85.0,2023,Toulouse,France,FR,france_dvf,
43.674731,1.431077,120000.0,EUR,0.0,2023,Aucamville,France,FR,france_dvf,
43.674782,1.431249,120000.0,EUR,0.0,2023,Aucamville,France,FR,france_dvf,
43.674937,1.431744,120000.0,EUR,0.0,2023,Aucamville,France,FR,france_dvf,
43.675062,1.432155,120000.0,EUR,0.0,2023,Aucamville,France,FR,france_dvf,
43.675148,1.432292,120000.0,EUR,0.0,2023,Aucamville,France,FR,france_dvf,
43.674632,1.430769,120000.0,EUR,0.0,2023,Aucamville,France,FR,france_dvf,
43.674643,1.430711,120000.0,EUR,0.0,2023,Aucamville,France,FR,france_dvf,
43.674652,1.430737,120000.0,EUR,0.0,2023,Aucamville,France,FR,france_dvf,
43.67466,1.430763,120000.0,EUR,0.0,2023,Aucamville,France,FR,france_dvf,
43.674669,1.430789,120000.0,EUR,0.0,2023,Aucamville,France,FR,france_dvf,
43.782009,1.415245,250400.0,EUR,94.0,2023,Bouloc,France,FR,france_dvf,
43.613918,1.481165,166000.0,EUR,25.0,2023,Toulouse,France,FR,france_dvf,
43.613918,1.481165,166000.0,EUR,23.0,2023,Toulouse,France,FR,france_dvf,
43.778754,1.515428,285600.0,EUR,0.0,2023,Montjoire,France,FR,france_dvf,
43.777713,1.514764,285600.0,EUR,0.0,2023,Montjoire,France,FR,france_dvf,
43.777723,1.51509,285600.0,EUR,70.0,2023,Montjoire,France,FR,france_dvf,
43.778001,1.516378,285600.0,EUR,0.0,2023,Montjoire,France,FR,france_dvf,
43.777191,1.514325,285600.0,EUR,0.0,2023,Montjoire,France,FR,france_dvf,
43.799534,1.601337,140000.0,EUR,71.0,2023,Bessières,France,FR,france_dvf,
43.645192,1.461486,153000.0,EUR,57.0,2023,Toulouse,France,FR,france_dvf,
43.630939,1.437896,140000.0,EUR,57.0,2023,Toulouse,France,FR,france_dvf,
43.537083,1.534834,177500.0,EUR,56.0,2023,Labège,France,FR,france_dvf,
43.56911,1.505899,208240.0,EUR,64.0,2023,Toulouse,France,FR,france_dvf,
43.542887,1.480137,124500.0,EUR,44.0,2023,Ramonville-Saint-Agne,France,FR,france_dvf,
43.601584,1.442575,485700.0,EUR,121.0,2023,Toulouse,France,FR,france_dvf,
43.596113,1.457273,79020.0,EUR,18.0,2023,Toulouse,France,FR,france_dvf,
43.628351,1.43721,148985.0,EUR,46.0,2023,Toulouse,France,FR,france_dvf,
43.631611,1.436349,247900.0,EUR,0.0,2023,Toulouse,France,FR,france_dvf,
43.631611,1.436349,247900.0,EUR,0.0,2023,Toulouse,France,FR,france_dvf,
43.612228,1.446399,117000.0,EUR,15.0,2023,Toulouse,France,FR,france_dvf,
43.703986,1.470362,95000.0,EUR,0.0,2023,Pechbonnieu,France,FR,france_dvf,
43.574443,1.458198,157000.0,EUR,46.0,2023,Toulouse,France,FR,france_dvf,
43.607976,1.459876,220000.0,EUR,46.0,2023,Toulouse,France,FR,france_dvf,
