price,currency,country,iso,source,city,yr,property_type,area_m2,detail
1130820.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,,
1130806.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,57.38,
1130816.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,59.8,
1130809.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,11.02,
1130809.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,65.8,
1130813.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,26.7,
1130809.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,69.0,
1130806.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,30.41,
1130820.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,14.61,
1130803.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,29.52,
1130810.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,82.97,
1130819.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,12.27,
1130801.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,27.72,
1130813.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,26.88,
1130813.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,33.28,
1130815.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,,
1130807.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,15.0,
1130811.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,37.17,
1130804.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,22.75,
1130814.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,14.46,
1130802.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,37.31,
1130820.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,42.77,
1130802.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,35.75,
1130816.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,18.58,
1130816.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,18.58,
1130816.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,18.58,
1130816.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,23.84,
1130804.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,37.28,
1130822.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,,
1130813.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,480.0,
1130820.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,18.58,
